id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40748683,Super silent and nice at Leme -Complete 2 bedrooms,91654021,Daniel,,Copacabana,-22.96268,-43.17449,Entire home/apt,229,5,1,2020-02-26,0.06,195,255
40748709,Lindo Loft à 300m da Praia de Copacabana,56845658,Juliana,,Copacabana,-22.98339,-43.19308,Entire home/apt,500,5,1,2020-02-16,0.06,1,364
40748921,"NO CORAÇÃO DE IPANEMA, UM ESPAÇO ÚNICO!",313843911,Cesar,,Ipanema,-22.98385,-43.20816,Entire home/apt,409,3,0,,,2,89
40750395,"Hospitality|Subway |
Tourist Points | Comfort | TV",223377662,Patricia,,Tijuca,-22.92096,-43.22341,Private room,80,1,4,2021-07-03,0.22,5,84
40750592,Quarto Pássaros em Cobertura e linda vista do Rio,170897840,Eliz,,Santa Teresa,-22.93507,-43.20099,Private room,80,5,3,2020-01-02,0.17,4,358
40751598,Bedroom and living room in Botafogo,1982737,Estadia,,Botafogo,-22.95517,-43.17423,Entire home/apt,260,1,5,2020-03-22,0.36,45,181
40753185,Apartamento de luxo em Del castilho,316460980,Iona,,Del Castilho,-22.87483,-43.26671,Entire home/apt,550,3,1,2019-12-30,0.05,1,365
40753449,Appartement très agréable et idéalement situé,23117517,Christophe,,Flamengo,-22.92988,-43.17633,Entire home/apt,574,5,1,2020-02-26,0.06,1,177
40753605,Lindo apto Barra FAMILY Resort .,100656552,Moacyr,,Recreio dos Bandeirantes,-23.0081,-43.44343,Entire home/apt,271,2,23,2021-06-27,1.21,1,43
40754647,Leme Beach/ 2-3Bdrm/Quiet and Cozy/Great Location,31226043,Alan,,Leme,-22.96303,-43.1671,Entire home/apt,319,3,6,2020-02-26,0.36,6,88
40754791,"Lindo, espaçoso, aconchegante e bem localizado!",316472674,Carol,,Centro,-22.90027,-43.18153,Entire home/apt,98,2,9,2021-06-01,0.53,1,138
40755353,Linda residência na Lagoa com piscina,213031853,Fabiola,,Lagoa,-22.96423,-43.19774,Entire home/apt,1183,1,47,2021-01-18,2.58,2,281
40756554,Studio leblon on,77709888,Fábio Soares - BrazilUpscale,,Leblon,-22.98331,-43.22424,Entire home/apt,289,7,0,,,34,365
40756610,ÓTIMO QUARTO  PRÓXIMO À  PRAIA DE COPACABANA/LEME,315406066,Virginia Maria,,Copacabana,-22.96285,-43.17365,Private room,150,1,1,2020-02-26,0.06,1,363
40757216,Coração Baixo Copa Posto 4,15196239,Francisco,,Copacabana,-22.97463,-43.19119,Entire home/apt,150,3,11,2020-03-28,0.60,1,85
40758617,AMPLA COBERTURA - VISTA LATERAL MAR - COPA LINDA,7569964,Fernando,,Copacabana,-22.97454,-43.18824,Entire home/apt,1000,6,0,,,1,180
40758662,HB05C 3 Quartos Copacabana,31345443,Henrique,,Copacabana,-22.98211,-43.18958,Entire home/apt,500,3,5,2020-09-07,0.28,1,126
40758907,"Apto aconchegante, arejado,seguro e familiar.",12664571,Emília,,Santa Teresa,-22.92144,-43.18076,Entire home/apt,550,1,1,2020-01-02,0.05,1,179
40759536,Quarto  DENTRO DA NATUREZA,8493050,Suely,,Barra da Tijuca,-23.00394,-43.33761,Entire home/apt,250,3,1,2020-02-25,0.06,1,179
40760545,MARAVILHOSO STUDIO EM COPACABANA (4 PAX),10406037,Rio Houses,,Copacabana,-22.97272,-43.19077,Entire home/apt,212,1,37,2021-01-08,1.93,10,259
40761743,Apartamento reformado 500 metros Praia Posto 5,11962067,Naeory Ysabelle,,Barra da Tijuca,-23.00245,-43.32783,Entire home/apt,1500,3,0,,,3,179
40763730,Suite com Quintal a 1 quadra Praia COPACABANA,24395708,Sabrina,,Copacabana,-22.98353,-43.19188,Private room,260,5,0,,,4,363
40768510,Studio Copacabana,6546710,Fanny,,Copacabana,-22.98114,-43.19448,Entire home/apt,116,5,6,2020-02-27,0.35,1,84
40769637,Cozy Flat Hotel Ipanema,91654021,Daniel,,Ipanema,-22.98367,-43.21416,Entire home/apt,659,2,0,,,195,343
40769990,Apê aconchegante em Botafogo,8070927,Hugo,,Botafogo,-22.95052,-43.18932,Entire home/apt,214,2,1,2019-12-26,0.05,1,179
40770241,Réveillon 2020  no Rio de Janeiro. Próximo a praia,251217676,Lú,,Jacarepaguá,-22.96735,-43.4108,Entire home/apt,181,5,0,,,1,89
40770325,Package 3 Apts Hotel in one – View Ipanema,91654021,Daniel,,Ipanema,-22.98532,-43.21421,Entire home/apt,1798,2,0,,,195,252
40770425,Ipanema luxo 3 suítes with balcony and 2 garage,4873555,Pedro,,Ipanema,-22.98217,-43.20541,Entire home/apt,1303,1,16,2021-06-21,0.87,14,328
